P_id,CellSize,P_Area_ha_Excel
15353,116,102.78
15540,116,102.78
15552,116,102.78
15613,116,102.78
15896,116,102.78
15905,116,102.78
15908,116,102.78
15924,116,102.78
16418,116,102.78
16703,116,102.78
17129,116,102.78
17214,116,102.78
17281,116,102.78
17287,116,102.78
17398,116,102.78
17558,116,102.78
17622,116,102.78
17633,116,102.78
17696,116,102.78
17759,116,102.78
17840,116,102.78
17899,116,102.78
17974,116,102.78
18167,116,102.78
18442,116,102.78
18529,116,102.78
18610,116,102.78
18919,116,102.78
19077,116,102.78
19175,116,102.78
19345,116,102.78
19638,116,102.78
19694,116,102.78
19736,116,102.78
19972,116,102.78
19994,116,102.78
20111,116,102.78
20118,116,102.78
20143,116,102.78
20309,116,102.78
20323,116,102.78
20331,116,102.78
20452,116,102.78
20546,116,102.78
20583,116,102.78
20597,116,102.78
20601,116,102.78
20898,116,102.78
21006,116,102.78
21096,116,102.78
21158,116,102.78
21438,116,102.78
21445,116,102.78
21573,116,102.78
21614,116,102.78
21622,116,102.78
21980,116,102.78
21999,116,102.78
22050,116,102.78
22432,116,102.78
22580,116,102.78
22628,116,102.78
22630,116,102.78
22635,116,102.78
22863,116,102.78
23023,116,102.78
23249,116,102.78
23383,116,102.78
23519,116,102.78
23572,116,102.78
23758,116,102.78
23889,116,102.78
23988,116,102.78
24032,116,102.78
24113,116,102.78
24235,116,102.78
24243,116,102.78
24270,116,102.78
24297,116,102.78
24416,116,102.78
24578,116,102.78
24634,116,102.78
24636,116,102.78
24711,116,102.78
24719,116,102.78
25125,116,102.78
25130,116,102.78
25208,116,102.78
25223,116,102.78
25224,116,102.78
25343,116,102.78
25367,116,102.78
25526,116,102.78
25640,116,102.78
25807,116,102.78
25905,116,102.78
25953,116,102.78
25995,116,102.78
26030,116,102.78
26090,116,102.78
26375,116,102.78
27039,116,102.78
27051,116,102.78
27075,116,102.78
27076,116,102.78
27123,116,102.78
27588,116,102.78
27619,116,102.78
27893,116,102.78
27951,116,102.78
27958,116,102.78
27967,116,102.78
27968,116,102.78
28202,116,102.78
28327,116,102.78
28393,116,102.78
28461,116,102.78
28631,116,102.78
28943,116,102.78
29154,116,102.78
29178,116,102.78
29183,116,102.78
29210,116,102.78
29444,116,102.78
29470,116,102.78
29493,116,102.78
29661,116,102.78
29665,116,102.78
29751,116,102.78
29771,116,102.78
29833,116,102.78
29870,116,102.78
29908,116,102.78
30053,116,102.78
30096,116,102.78
30242,116,102.78
30352,116,102.78
30540,116,102.78
30554,116,102.78
30785,116,102.78
30947,116,102.78
31088,116,102.78
31145,116,102.78
31184,116,102.78
31228,116,102.78
31243,116,102.78
31431,116,102.78
31545,116,102.78
31582,116,102.78
31785,116,102.78
31878,116,102.78
31914,116,102.78
32010,116,102.78
32013,116,102.78
32084,116,102.78
63,117,103.66
162,117,103.66
237,117,103.66
329,117,103.66
486,117,103.66
595,117,103.66
608,117,103.66
816,117,103.66
841,117,103.66
857,117,103.66
1029,117,103.66
1083,117,103.66
1289,117,103.66
1490,117,103.66
1594,117,103.66
1805,117,103.66
2033,117,103.66
2240,117,103.66
2317,117,103.66
2395,117,103.66
2432,117,103.66
2529,117,103.66
2633,117,103.66
2901,117,103.66
2902,117,103.66
2907,117,103.66
3238,117,103.66
3341,117,103.66
3405,117,103.66
3410,117,103.66
3430,117,103.66
3510,117,103.66
3600,117,103.66
3851,117,103.66
3860,117,103.66
4009,117,103.66
4057,117,103.66
4089,117,103.66
4194,117,103.66
4251,117,103.66
4353,117,103.66
4637,117,103.66
4807,117,103.66
4810,117,103.66
4840,117,103.66
4933,117,103.66
4968,117,103.66
5094,117,103.66
5615,117,103.66
5770,117,103.66
6362,117,103.66
6364,117,103.66
6443,117,103.66
6445,117,103.66
6454,117,103.66
6554,117,103.66
6603,117,103.66
6729,117,103.66
6757,117,103.66
6917,117,103.66
7121,117,103.66
7352,117,103.66
7431,117,103.66
7725,117,103.66
7866,117,103.66
7961,117,103.66
8433,117,103.66
8542,117,103.66
8620,117,103.66
8682,117,103.66
8881,117,103.66
9468,117,103.66
9737,117,103.66
9769,117,103.66
9799,117,103.66
9868,117,103.66
9884,117,103.66
9989,117,103.66
10000,117,103.66
10012,117,103.66
10021,117,103.66
10249,117,103.66
10705,117,103.66
10725,117,103.66
10756,117,103.66
10964,117,103.66
11010,117,103.66
11057,117,103.66
11238,117,103.66
11292,117,103.66
11318,117,103.66
11360,117,103.66
11420,117,103.66
11539,117,103.66
11541,117,103.66
11655,117,103.66
11789,117,103.66
11862,117,103.66
11978,117,103.66
12056,117,103.66
12165,117,103.66
12333,117,103.66
12661,117,103.66
12755,117,103.66
13042,117,103.66
13056,117,103.66
13058,117,103.66
13146,117,103.66
13159,117,103.66
13204,117,103.66
13253,117,103.66
13322,117,103.66
13518,117,103.66
13569,117,103.66
13571,117,103.66
13617,117,103.66
13692,117,103.66
13909,117,103.66
13918,117,103.66
13995,117,103.66
14054,117,103.66
14212,117,103.66
14354,117,103.66
14424,117,103.66
14724,117,103.66
15156,117,103.66
15254,117,103.66
15255,117,103.66
15508,117,103.66
15547,117,103.66
15567,117,103.66
15589,117,103.66
15692,117,103.66
15792,117,103.66
15803,117,103.66
15842,117,103.66
15871,117,103.66
15873,117,103.66
15882,117,103.66
15931,117,103.66
15981,117,103.66
16140,117,103.66
16207,117,103.66
16771,117,103.66
16916,117,103.66
17006,117,103.66
17185,117,103.66
